agent_id,from_node_id,to_node_id,timestamp,cumu_distance,hhmmss,trace_id,travel_time,delay,geometry
1,100000002,100000003,0,0.16,0000:00,1,0,0,"LINESTRING (-77.3709 39.0141,-77.368439.0127)"
1,100000003,100000004,0,0.68,0000:00,2,0,0,"LINESTRING (-77.3684 39.0127,-77.360539.0086)"
1,100000004,100000005,0,1.36,0000:00,3,0,0,"LINESTRING (-77.3605 39.0086,-77.350239.0028)"
1,100000005,100000006,0,1.66,0000:00,4,0,0,"LINESTRING (-77.3502 39.0028,-77.345539.0005)"
1,100000006,100000007,0,1.66,0000:00,5,0,0,"LINESTRING (-77.3455 39.0005,-77.345439.0005)"
1,100000007,100000008,0,2.29,0000:00,6,0,0,"LINESTRING (-77.3454 39.0005,-77.336538.9946)"
1,100000008,100000009,0,2.30,0000:00,7,0,0,"LINESTRING (-77.3365 38.9946,-77.336438.9945)"
1,100000009,100000010,0,3.92,0000:00,8,0,0,"LINESTRING (-77.3364 38.9945,-77.315738.9778)"
1,100000010,100000011,0,3.99,0000:00,9,0,0,"LINESTRING (-77.3157 38.9778,-77.314738.9773)"
1,100000011,100000012,0,4.62,0000:00,10,0,0,"LINESTRING (-77.3147 38.9773,-77.303938.9738)"
1,100000012,100000013,0,5.43,0000:00,11,0,0,"LINESTRING (-77.3039 38.9738,-77.291538.9672)"
1,100000013,100000014,0,6.38,0000:00,12,0,0,"LINESTRING (-77.2915 38.9672,-77.276938.9597)"
1,100000014,100000015,0,6.55,0000:00,13,0,0,"LINESTRING (-77.2769 38.9597,-77.274738.958)"
1,100000015,100000016,0,7.26,0000:00,14,0,0,"LINESTRING (-77.2747 38.958,-77.264538.9514)"
1,100000016,100000017,0,8.04,0000:00,15,0,0,"LINESTRING (-77.2645 38.9514,-77.255238.9428)"
1,100000017,100000018,0,8.71,0000:00,16,0,0,"LINESTRING (-77.2552 38.9428,-77.247738.9351)"
1,100000018,100000019,0,9.08,0000:00,17,0,0,"LINESTRING (-77.2477 38.9351,-77.243538.9307)"
1,100000019,100000020,0,9.68,0000:00,18,0,0,"LINESTRING (-77.2435 38.9307,-77.236938.9238)"
1,100000020,100000021,0,9.69,0000:00,19,0,0,"LINESTRING (-77.2369 38.9238,-77.236838.9237)"
1,100000021,100000022,0,10.05,0000:00,20,0,0,"LINESTRING (-77.2368 38.9237,-77.232638.9196)"
1,100000022,100000023,0,10.23,0000:00,21,0,0,"LINESTRING (-77.2326 38.9196,-77.230238.9178)"
1,100000023,100000024,0,10.46,0000:00,22,0,0,"LINESTRING (-77.2302 38.9178,-77.22738.9158)"
1,100000024,100000025,0,10.51,0000:00,23,0,0,"LINESTRING (-77.227 38.9158,-77.226238.9152)"
1,100000025,100000026,0,10.90,0000:00,24,0,0,"LINESTRING (-77.2262 38.9152,-77.220438.9119)"
1,100000026,100000027,0,11.25,0000:00,25,0,0,"LINESTRING (-77.2204 38.9119,-77.215238.9089)"
1,100000027,100000028,0,11.27,0000:00,26,0,0,"LINESTRING (-77.2152 38.9089,-77.214938.9088)"
1,100000028,100000029,0,11.29,0000:00,27,0,0,"LINESTRING (-77.2149 38.9088,-77.214638.9086)"
1,100000029,100000030,0,12.29,0000:00,28,0,0,"LINESTRING (-77.2146 38.9086,-77.199738.9006)"
1,100000030,100000031,0,12.30,0000:00,29,0,0,"LINESTRING (-77.1997 38.9006,-77.199638.9005)"
1,100000031,100000032,0,12.66,0000:00,29,0,0,"LINESTRING (-77.1996 38.9005,-77.194338.8971)"
2,100000034,100000035,0,0.03,0000:00,1,0,0,"LINESTRING (-77.1992 38.9005,-77.199638.9007)"
2,100000035,100000036,0,1.03,0000:00,2,0,0,"LINESTRING (-77.1996 38.9007,-77.214538.9088)"
2,100000036,100000037,0,1.05,0000:00,3,0,0,"LINESTRING (-77.2145 38.9088,-77.214838.9089)"
2,100000037,100000038,0,1.09,0000:00,4,0,0,"LINESTRING (-77.2148 38.9089,-77.215438.9093)"
2,100000038,100000039,0,1.48,0000:00,5,0,0,"LINESTRING (-77.2154 38.9093,-77.221438.9125)"
2,100000039,100000040,0,1.80,0000:00,6,0,0,"LINESTRING (-77.2214 38.9125,-77.22638.9154)"
2,100000040,100000041,0,1.85,0000:00,7,0,0,"LINESTRING (-77.226 38.9154,-77.226838.9158)"
2,100000041,100000042,0,2.12,0000:00,8,0,0,"LINESTRING (-77.2268 38.9158,-77.230538.9184)"
2,100000042,100000043,0,2.24,0000:00,9,0,0,"LINESTRING (-77.2305 38.9184,-77.232138.9197)"
2,100000043,100000044,0,2.62,0000:00,10,0,0,"LINESTRING (-77.2321 38.9197,-77.236438.9239)"
2,100000044,100000045,0,2.63,0000:00,11,0,0,"LINESTRING (-77.2364 38.9239,-77.236538.924)"
2,100000045,100000046,0,3.35,0000:00,12,0,0,"LINESTRING (-77.2365 38.924,-77.244738.9323)"
2,100000046,100000047,0,3.71,0000:00,13,0,0,"LINESTRING (-77.2447 38.9323,-77.248738.9364)"
2,100000047,100000048,0,4.27,0000:00,14,0,0,"LINESTRING (-77.2487 38.9364,-77.255138.9429)"
2,100000048,100000049,0,5.05,0000:00,15,0,0,"LINESTRING (-77.2551 38.9429,-77.264438.9515)"
2,100000049,100000050,0,5.76,0000:00,16,0,0,"LINESTRING (-77.2644 38.9515,-77.274638.9581)"
2,100000050,100000051,0,5.93,0000:00,17,0,0,"LINESTRING (-77.2746 38.9581,-77.276838.9597)"
2,100000051,100000052,0,6.89,0000:00,18,0,0,"LINESTRING (-77.2768 38.9597,-77.291438.9673)"
2,100000052,100000053,0,7.70,0000:00,19,0,0,"LINESTRING (-77.2914 38.9673,-77.303838.974)"
2,100000053,100000054,0,8.33,0000:00,20,0,0,"LINESTRING (-77.3038 38.974,-77.314638.9775)"
2,100000054,100000055,0,8.40,0000:00,21,0,0,"LINESTRING (-77.3146 38.9775,-77.315738.978)"
2,100000055,100000056,0,10.01,0000:00,22,0,0,"LINESTRING (-77.3157 38.978,-77.336238.9946)"
2,100000056,100000057,0,10.02,0000:00,23,0,0,"LINESTRING (-77.3362 38.9946,-77.336438.9947)"
2,100000057,100000058,0,10.62,0000:00,24,0,0,"LINESTRING (-77.3364 38.9947,-77.344939.0004)"
2,100000058,100000059,0,10.70,0000:00,25,0,0,"LINESTRING (-77.3449 39.0004,-77.34639.001)"
2,100000059,100000060,0,10.95,0000:00,26,0,0,"LINESTRING (-77.346 39.001,-77.3539.003)"
2,100000060,100000061,0,11.67,0000:00,27,0,0,"LINESTRING (-77.35 39.003,-77.360939.009)"
2,100000061,100000062,0,12.09,0000:00,28,0,0,"LINESTRING (-77.3609 39.009,-77.367339.0125)"
2,100000062,100000063,0,12.31,0000:00,29,0,0,"LINESTRING (-77.3673 39.0125,-77.370739.0143)"
2,100000063,100000064,0,12.32,0000:00,30,0,0,"LINESTRING (-77.3707 39.0143,-77.370939.0143)"
