agent_id,given_link_type_code,road_sequence,from_node_id,to_node_id,link_id,trace_no,trace_id,length,distance,link_type_code,geometry
6,,1,402,131,241,0,53,175.134588,175.134588,,"LINESTRING (-111.9381583 33.415, -111.9385524 33.4151879, -111.9388391 33.4153857, -111.9391546 33.4156339, -111.9393959 33.4159185, -111.939442 33.4159929, -111.9394923 33.4160741)",
6,,2,131,132,365,0,53,112.279051,287.413640,,"LINESTRING (-111.9394923 33.4160741, -111.9396053 33.4162564, -111.9397468 33.416566, -111.9398246 33.4169022, -111.9398371 33.4170325)",
6,,3,132,133,726,0,53,47.002528,334.416167,,"LINESTRING (-111.9398371 33.4170325, -111.9398458 33.4171202, -111.9398439 33.4174549)",
6,,4,133,134,722,0,53,18.237954,352.654122,,"LINESTRING (-111.9398439 33.4174549, -111.9398468 33.4176189)",
6,,5,134,201,388,0,53,118.892810,471.546932,,"LINESTRING (-111.9398468 33.4176189, -111.9398457 33.4184381, -111.9398502 33.4186881)",
6,,6,201,202,376,0,53,5.470861,477.017793,,"LINESTRING (-111.9398502 33.4186881, -111.9398505 33.4187373)",
6,,7,202,135,384,0,53,35.608079,512.625872,,"LINESTRING (-111.9398505 33.4187373, -111.9398515 33.4189843, -111.939854 33.4190575)",
6,,8,135,203,385,0,53,31.042032,543.667904,,"LINESTRING (-111.939854 33.4190575, -111.9398574 33.4191385, -111.9398606 33.4193366)",
6,,9,203,205,380,0,53,24.156932,567.824836,,"LINESTRING (-111.9398606 33.4193366, -111.9398661 33.4195538)",
6,,10,205,206,377,0,53,24.818818,592.643654,,"LINESTRING (-111.9398661 33.4195538, -111.9398663 33.4195688, -111.9398665 33.419777)",
6,,11,206,207,379,0,53,26.536383,619.180037,,"LINESTRING (-111.9398665 33.419777, -111.9398722 33.4200156)",
6,,12,207,208,382,0,53,24.532705,643.712742,,"LINESTRING (-111.9398722 33.4200156, -111.9398812 33.4202361)",
6,,13,208,136,386,0,53,28.288940,672.001683,,"LINESTRING (-111.9398812 33.4202361, -111.9398785 33.4204046, -111.9398833 33.4204904)",
6,,14,136,209,383,0,53,75.534706,747.536389,,"LINESTRING (-111.9398833 33.4204904, -111.9398874 33.4205831, -111.9398937 33.4209604, -111.939894 33.4211696)",
6,,15,209,210,381,0,53,13.310968,760.847357,,"LINESTRING (-111.939894 33.4211696, -111.9398957 33.4212893)",
6,,16,210,183,378,0,53,67.402867,828.250223,,"LINESTRING (-111.9398957 33.4212893, -111.9398841 33.4214786, -111.9399051 33.4217848, -111.9398936 33.4218943)",
6,,17,183,184,597,0,53,9.766884,838.017107,,"LINESTRING (-111.9398936 33.4218943, -111.9398966 33.4219821)",
6,,18,184,217,245,0,53,112.094951,950.112058,,"LINESTRING (-111.9398966 33.4219821, -111.9399104 33.422072, -111.9399143 33.422407, -111.9399634 33.422988)",
6,,19,217,137,404,0,53,22.310723,972.422781,,"LINESTRING (-111.9399634 33.422988, -111.9399685 33.4231886)",
6,,20,137,213,406,0,53,91.518138,1063.940919,,"LINESTRING (-111.9399685 33.4231886, -111.9399609 33.4239039, -111.9399588 33.4240116)",
6,,21,213,138,396,0,53,37.055060,1100.995979,,"LINESTRING (-111.9399588 33.4240116, -111.9399523 33.4243448)",
6,,22,138,215,395,0,53,87.222905,1188.218883,,"LINESTRING (-111.9399523 33.4243448, -111.939958 33.4251292)",
6,,23,215,139,391,0,53,40.342241,1228.561124,,"LINESTRING (-111.939958 33.4251292, -111.9399606 33.425492)",
6,,24,139,218,402,0,53,94.516125,1323.077250,,"LINESTRING (-111.9399606 33.425492, -111.9399637 33.426342)",
6,,25,218,140,405,0,53,13.810460,1336.887710,,"LINESTRING (-111.9399637 33.426342, -111.9399641 33.4264662)",
6,,26,140,219,400,0,53,63.347750,1400.235460,,"LINESTRING (-111.9399641 33.4264662, -111.939964 33.4270359)",
6,,27,219,142,408,0,53,38.829405,1439.064865,,"LINESTRING (-111.939964 33.4270359, -111.9399639 33.4272821, -111.9399633 33.4273851)",
6,,28,142,143,367,0,53,11.753747,1450.818612,,"LINESTRING (-111.9399633 33.4273851, -111.9399644 33.4274908)",
6,,29,143,144,368,0,53,4.014180,1454.832792,,"LINESTRING (-111.9399644 33.4274908, -111.9399642 33.4275269)",
6,,30,144,221,369,0,53,73.346872,1528.179664,,"LINESTRING (-111.9399642 33.4275269, -111.9399623 33.427579, -111.9399618 33.4281865)",
6,,31,221,222,401,0,53,27.198285,1555.377950,,"LINESTRING (-111.9399618 33.4281865, -111.9399616 33.4284311)",
6,,32,222,223,409,0,53,71.758336,1627.136286,,"LINESTRING (-111.9399616 33.4284311, -111.9399917 33.4284947, -111.9399996 33.4286739, -111.9399832 33.4290713)",
6,,33,223,224,403,0,53,17.302351,1644.438637,,"LINESTRING (-111.9399832 33.4290713, -111.9399845 33.4292269)",
6,,34,224,145,407,0,53,39.400017,1683.838654,,"LINESTRING (-111.9399845 33.4292269, -111.9399957 33.4293836, -111.9399608 33.4294989, -111.9399635 33.4295773)",
